id_licencia,emp_direccion
353,MZ. R LT. 05 HABILITACION URBANA URB. CALIFORNIA. 
354,AV. JORGE CHAVEZ N 162 PP.JJ. SUAZO. 
355,AV. SANTA VICTORIA N 103 PP.JJ. SAN FRANCISCO
356,AV. PEDRO RUIZ N 1038 - CHICLAYO
357,AV. VICTOR RAUL HAYA DE LA TORRE N 150 - LC 09 URB. SAN EDUARDO. 
358,CA. JUAN CUGLIEVAN N 1114 CERCADO
359,CA. ELIAS AGUIRRE N 374 INT 308 - A CHICLAYO 
360,AV. JOSE BALTA N 873 CHICLAYO 
361,AV. AUGUSTO B.LEGUIA N 2515 - 1 PISO - URB. MIRAFLORES
362,CALLE ALFREDO LAPOINT N 1117 - 1131 - CHICLAYO
363,CA. TRES N 430 PP.JJ. SAN JOSE OBRERO
364,CA. CRISTOBAL COLON Nª 442 CHICLAYO
365,AV. FRANCISCO BOLOGNESI N 590 INT. B - CHICLAYO 
366,AV. JOSE LEONARDO ORTIZ N 118 - CHICLAYO 
367,AV. GARCILAZO DE LA VEGA N 830 URB. SAN EDUARDO - CHICLAYO 
368,"CA. TARATA N° 582, URB. CAMPODÓNICO - CHICLAYO "
369, AV. ELVIRA GARCÍA Y GARCÍA N 359 -1 PISO PP.JJ. JOSÉ OLAYA - CHICLAYO 
370,CA. GENERAL NECOCHEA N 180 DTO. 102 URB. SANTA VICTORIA - CHICLAYO
371,AV. MIGUEL GRAU N 750 DTO. 101 - CHICLAYO 
372,CA. ELÍAS AGUIRRE N 774 (INT. DE INKAFARMA) - CHICLAYO 
373,AV. JOSÉ BALTA N 1095 (INT. DE INKAFARMA) - CHICLAYO 
374,AV. PEDRO RUIZ N 1068 (INT. DE SHOW GOL) - CHICLAYO
375,CA. SAN CRISTOBAL N 105 - INT.C PP.JJ. SAN ANTONIO - CHICLAYO
376,AV. JOSÉ BALTA N 1355 3 PISO INT. 307 - CHICLAYO 
377,CA. ALFONSO UGARTE N 1079 - CHICLAYO
378,AV. JOSÉ LEONARDO ORTIZ N 349 INT. 103 - CHICLAYO
379,CA. JOSÉ PARDO N 130 - CHICLAYO
380,MZ. G LOTE 32 URB. EL AMAUTA - CHICLAYO 
381,CA. MARISCAL NIETO N 480 INT. Y 08 URB. CAMPODÓNICO - CHICLAYO 
382,AV. MIGUEL GRAU N 610 PP.JJ. SAN NICOLAS (INT. DE METRO) - CHICLAYO 
383,CALLE ARICA N 778 (INT. DE INKAFARMA) - CHICLAYO
384,CA. ELÍAS AGUIRRE N884-B - CHICLAYO
385,CA. ARICA N 870 STAND 05 - CHICLAYO 
386,AV. AGRICULTURA MZ. A LOTE 02  AA.HH. SAÚL CANTORAL - CHICLAYO
387,CA. LOS SAUCES N 632  URB. SANTA VICTORIA - CHICLAYO
388,AV. SAENZ PEÑA N 643 - CHICLAYO 
389,MZ. J LOTE 3-4 PP.JJ. MIRAFLORES CARRETERA POMALCA KM. 3.5 - CHICLAYO
390,AV. EUFEMIO LORA Y LORA N 354  Y CA. LORA Y CORDERO N 108 - CHICLAYO
391,CA. FRANCISCO CÚNEO N 1052 URB. PATAZCA - CHICLAYO 
392,PSJE. UNION N 154 PP.JJ. SAN ANTONIO - CHICLAYO
393,AV. FRANCISCO BOLOGNESI N 328 - CHICLAYO
394,CA. ALFONSO UGARTE N 643 - CHICLAYO 
395,AV. PEDRO RUIZ N 311 URB. EL PORVENIR - CHICLAYO
396,CA. SAN JOSÉ N 303 - A 2 PISO - CHICLAYO 
397,"CA. EL PEREGRINO N° 104 ,URB. LAS BRISAS - CHICLAYO "
398,CA. LETICIA N 213 - CHICLAYO
399,AV. JOSÉ BALTA N 1754 - CHICLAYO 
400,CA. JOSE PARDO N 172 - A CHICLAYO
401,CA. SAN JOSE N 573 CHICLAYO 
402,CA. 07 DE ENERO N 1336 CHICLAYO
403,CA. 07 DE ENERO N 315 CHICLAYO 
404,CA. LOS NOGALES N 171 URB. LOS PARQUES - CHICLAYO 
405,AV. JOSÉ BALTA N 456 - CHICLAYO 
406,AV. 09 DE OCTUBRE N 907 PP.JJ. 09 DE OCTUBRE - CHICLAYO 
407,AV. SAENZ PEÑA N 106 - CHICLAYO 
408,CA. UNIÓN N 138 PP.JJ. SAN MARTIN - CHICLAYO 
409,CA. MANUEL MARÍA IZAGA N 256 2 PISO - CHICLAYO
410,CA. SAN JOSÉ N 680 - CHICLAYO
411,CA. ELÍAS AGUIRRE N 933 - CHICLAYO 
412,AV. LAS AMERICAS N 625 PP.JJ. SAN NICOLAS - CHICLAYO 
413,AV. PANAMERICANA NORTE N 352 SUB LOTE B URB. PATAZCA - CHICLAYO 
414,"CA. SAN JOSE N° 415 - 2, 3 Y 4 PISO - CHICLAYO"
415,AV. SAENZ PEÑA N 471 INT. 201 - CHICLAYO 
416,PROLONGACIÓN PACASMAYO MZ. C LOTE 13 URB. SAN FELIPE - CHICLAYO 
417,CA. HUALLAGA N 350 PP.JJ. SAN FRANCISCO - CHICLAYO
418,CA. ANDRÉS RAZURI N 108 - CHICLAYO
419,CA. CRISTOBAL COLON N 619 A - CHICLAYO 
420,CA. ALFONSO UGARTE N 1442 - CHICLAYO 
421,CA. SAN JOSÉ N 999 - CHICLAYO 
422,CA. MANUEL GERVACIO ARIZOLA N 146 URB. FEDERICO VILLARREAL - CHICLAYO 
423,MZ. L LOTE 34 URB. LA FLORIDA - CHICLAYO 
424, CA. FEDERICO VILLARREAL N 255 URB. LOS PARQUES
425,CA. JOSÉ PARDO N 122 - CHICLAYO 
426,CA. ALFONSO UGARTE N 665 - CHICLAYO
427,CA. LORA Y CORDERO N 146-A - CHICLAYO 
428,MZ. H LOTE 12 PP.JJ. 04 DE NOVIEMBRE - CHICLAYO 
429,CA. ARICA N 758 - CHICLAYO
430,AV. LA LIBERTAD N 572 URB. SANTA VICTORIA 
431,CA. PACASMAYO N 200 URB. SANTA VICTORIA - CHICLAYO 
432,CHICLAYOALFREDO LAPOINT645 
433,CHICLAYOMANUEL MARIA IZAGA248  INT 202  - 2 PISO
434,AV. JORGE CHAVEZ N 1400 PP.JJ. LOPEZ ALBUJAR - CHICLAYO 
435,AV. FERNANDO BELAUNDE TERRY N 690-A URB. LA PRIMAVERA - CHICLAYO 
436,PROLNG. AV. EUFEMIO LORA Y LORA MZ. B LOTE 14 URB. SANTA MARÍA - CHICLAYO 
437,CA. DANIEL ALCIDES CARRION N105 - CHICLAYO 
438,CHICLAYO - SAN JOSE N 375 2 PISO 
439,MZ. B LOTE 17 UPIS SANTO TORIBIO - CHICLAYO 
440,CA. INDEPENDENCIA N 672 PP.JJ. SAN ANTONIO - CHICLAYO
441,AV. 09 DE OCTUBRE N 1260 - 2 Y 3 PISO PP.JJ. 09 DE OCTUBRE CHICLAYO 
442,CA. JUAN CUGLIEVAN N 1590 2 PISO - CHICLAYO 
443,CA. ALFREDO LAPOINT N 634 - CHICLAYO
444,CA. LAS JACARANDAS N 100 - 1º PISO URB. SANTA VICTORIA - CHICLAYO
445,CA. LOS CIPRECES N 173 URB. LOS PARQUES - CHICLAYO 
446,CA. MOYOBAMBA N 409 URB. LA PRIMAVERA 
447,AV. JUAN TOMIS STACK N 601 PP.JJ. 09 DE OCTUBRE - CHICLAYO 
448,CA. TACNA N 999 - CHICLAYO
449,CA. MARIANO MELGAR N 240 PP.JJ. SIMÓN BOLIVAR - CHICLAYO
450,CA. LEONCIO PRADO N 1098 - CHICLAYO 
451,CA. ARICA N 752 - CHICLAYO 
452,CA. JUAN CUGLIEVAN N 555 - CHICLAYO
453,CA. JUAN CUGLIEVAN N 1574 - CHICLAYO 
454,AV. LORA  Y CORDERO N 818 - CHICLAYO
455,CA. 07 DE ENERO N 348 - CHICLAYO 
456,AV. FRANCISCO BOLOGNESI N 659 - CHICLAYO 
457,CA. 07 DE ENERO N 1650 - CHICLAYO 
458,CA. ALFREDO LAPOINT N 1111 - CHICLAYO
459,AV. SAENZ PEÑA N 740 - CHICLAYO 
460,AV. JOSÉ BALTA N 1158 - CHICLAYO 
461,AV. SAENZ PEÑA N 1509 - CHICLAYO 
462,AV. PEDRO RUIZ N 1080 - CHICLAYO
463,AV. LUIS GONZALES N 1190-1199 CHICLAYO
464,CA. JUAN PABLO II N 598 URB. LAS BRISAS
465,AV. AREQUIPA N 249 PP.JJ. JOSÉ OLAYA - CHICLAYO
466,CA. JUAN CUGLIEVAN N 1332 - CHICLAYO 
467,REMIGIO SILVA I ETAPA - PSJE. TOMAS GUTIERREZ  270
468,CA. LEONCIO PRADO N 768-3 CHICLAYO
469,AV. JOSÉ QUIÑONES GONZALES N 855 URB. CAMPODÓNICO - CHICLAYO
470,AV. JOSÉ QUIÑONES GONZALES N 869 URB. CAMPODÓNICO - CHICLAYO 
471,CA. ARICA N 2267 PP.JJ. SAN ANTONIO - CHICLAYO 
472,CA. LORA Y CORDERO N 806 - CHICLAYO
473,CA. ELIAS AGUIRRE N 884 - CHICLAYO 
474,CHICLAYO - ELIAS AGUIRRE919 - CERCADO 
475,CHICLAYO - FAUSTINO SARMIENTO160 
476,CHICLAYO - AV. JOSE BALTA N 155  INT-1148 (METRO) 
477,CHICLAYO - JUAN CUGLIEVAN1280 
478,PROLONGACION PATAZCA - VICENTE RUSSO132  
